fir_id,case_id,fir_date,incident_date,incident_type,description,location_id,location,jurisdiction,victim_id,complainant_id,primary_person_id,investigator_id,status,severity
FIR-000001,CR-2026-2004,2026-01-10 22:06:25,2026-01-09 10:06:25,CROSS_BORDER_TRADE,Fictional cross border trade incident tied to Synthetic Cyber Fraud probe 04.,L-000076,"Bus Stand, Cuddalore",FIN-CRIME-CELL,P-001991,P-000323,P-001559,INV-0040,UNDER_REVIEW,LOW
FIR-000002,CR-2026-2019,2026-06-24 19:53:38,2026-06-24 09:53:38,FRAUDULENT_TRANSFER,Fictional fraudulent transfer incident tied to Synthetic Financial Fraud probe 19.,L-000181,"Highway Junction, Chennai",CEN-CRIME-UNIT-03,P-000984,P-001636,P-001073,INV-0018,UNDER_REVIEW,HIGH
FIR-000003,CR-2026-2016,2026-05-24 04:40:30,2026-05-23 17:40:30,ASSAULT,Fictional assault incident tied to Synthetic Phone Fraud probe 16.,L-000048,"Auto Nagar, Nagercoil",NARC-BUREAU-01,P-000964,P-000197,P-000010,INV-0154,UNDER_REVIEW,HIGH
FIR-000004,CR-2026-2010,2026-06-24 22:15:39,2026-06-23 10:15:39,RECOVERY_NOTICE,Fictional recovery notice incident tied to Synthetic Vehicle Theft probe 10.,L-000012,"Bus Stand, Madurai",SOUTH-POL-SEC,P-001546,P-000191,P-000034,INV-0028,OPEN,HIGH
FIR-000005,CR-2026-2013,2026-05-17 15:59:12,2026-05-15 23:59:12,THEFT,Fictional theft incident tied to Synthetic Narcotics probe 13.,L-000054,"Warehouse Zone, Cuddalore",NORTH-POL-SEC,P-001271,P-000077,P-000891,INV-0114,OPEN,MEDIUM
FIR-000006,CR-2026-2017,2026-06-05 17:27:19,2026-06-04 14:27:19,SMUGGLING,Fictional smuggling incident tied to Synthetic Logistics Crime probe 17.,L-000072,"Warehouse Zone, Erode",CYBER-CELL-01,P-001322,P-001635,P-001322,INV-0050,CLOSED,HIGH
FIR-000007,CR-2026-2001,2026-02-02 02:42:32,2026-02-01 05:42:32,SMUGGLING,Fictional smuggling incident tied to Synthetic Cyber Fraud probe 01.,L-000193,"Grain Market, Tirunelveli",NARC-BUREAU-01,P-001447,P-001884,P-000023,INV-0119,CLOSED,HIGH
FIR-000008,CR-2026-2009,2026-05-15 13:12:37,2026-05-13 07:12:37,FRAUDULENT_TRANSFER,Fictional fraudulent transfer incident tied to Synthetic Gold Smuggling probe 09.,L-000114,"Ring Road, Thanjavur",NORTH-POL-SEC,P-001588,P-001195,P-000344,INV-0102,OPEN,MEDIUM
FIR-000009,CR-2026-2016,2026-04-10 02:01:45,2026-04-09 18:01:45,RECOVERY_NOTICE,Fictional recovery notice incident tied to Synthetic Phone Fraud probe 16.,L-000167,"Old Town, Dindigul",CEN-CRIME-UNIT-01,P-001126,P-000830,P-000830,INV-0096,CLOSED,CRITICAL
FIR-000010,CR-2026-2014,2026-07-14 18:46:45,2026-07-11 18:46:45,RECOVERY_NOTICE,Fictional recovery notice incident tied to Synthetic Logistics Crime probe 14.,L-000140,"IT Park, Karur",NORTH-POL-SEC,P-001072,P-001298,P-000697,INV-0018,OPEN,CRITICAL
