vehicle_record_id,vehicle_id,registration_number,owner_person_id,vehicle_type,make,model,registration_date,event_datetime,location_id,location,event_type,status,case_id
VREC-000001,V-000209,BR-80-LZ-1278,P-000907,VAN,Tata,Winger,2026-01-01,2026-05-01 20:19:59,L-000015,"SIPCOT, Kanniyakumari",SEEN,ACTIVE,CR-2026-2017
VREC-000002,V-000346,PB-27-CQ-4578,P-000484,VAN,Tata,Eeco,2026-01-01,2026-07-28 21:27:16,L-000001,"Old Town, Erode",REGISTERED,ACTIVE,
VREC-000003,V-000638,TS-21-ND-5931,P-001259,VAN,Mahindra,Winger,2026-01-01,2026-08-23 02:52:00,L-000186,"Highway Junction, Nagapattinam",REGISTERED,ACTIVE,
VREC-000004,V-000335,BR-36-JF-3264,P-001495,BIKE,Hero,FZ,2026-01-01,2026-03-25 20:38:51,L-000131,"Warehouse Zone, Kanniyakumari",REGISTERED,ACTIVE,CR-2026-2017
VREC-000005,V-000450,KA-25-WJ-5482,P-001061,CAR,Toyota,Thar,2026-01-01,2026-05-06 11:47:12,L-000105,"Bypass, Tirunelveli",SEEN,INACTIVE,
VREC-000006,V-000089,TN-90-UE-1841,P-001960,CAR,Hyundai,Swift,2026-01-01,2026-06-27 10:47:30,L-000080,"Industrial Estate, Kanniyakumari",REGISTERED,ACTIVE,
VREC-000007,V-000455,WB-34-RN-9821,P-000448,BIKE,TVS,FZ,2026-01-01,2026-09-01 16:38:57,L-000181,"Highway Junction, Chennai",MOVED,ACTIVE,
VREC-000008,V-000090,MH-38-LV-6853,P-001728,BIKE,Bajaj,Pulsar,2026-01-01,2026-06-30 07:40:20,L-000100,"Bypass, Cuddalore",REGISTERED,ACTIVE,CR-2026-2015
VREC-000009,V-000012,PB-64-YC-8090,P-001750,BIKE,Honda,Pulsar,2026-01-01,2026-08-24 14:46:49,L-000114,"Ring Road, Thanjavur",SEEN,ACTIVE,
VREC-000010,V-000349,GJ-63-FG-8588,P-001569,CAR,Toyota,Verna,2026-01-01,2026-05-09 14:58:42,L-000155,"Grain Market, Cuddalore",REGISTERED,ACTIVE,
VREC-000011,V-000090,MH-38-LV-6853,P-001728,BIKE,Bajaj,Pulsar,2026-01-01,2026-07-25 20:46:26,L-000066,"Grain Market, Nagercoil",REGISTERED,ACTIVE,
VREC-000012,V-000677,WB-76-GS-6259,P-001938,BIKE,Honda,Splendor,2026-01-01,2026-06-23 03:22:17,L-000081,"Textile Market, Karur",SEEN,ACTIVE,
VREC-000013,V-000539,AP-62-CB-6757,P-000007,TRUCK,Ashok Leyland,Truck 3520,2026-01-01,2026-08-25 12:00:57,L-000020,"Residential Colony, Karur",MOVED,ACTIVE,CR-2026-2017
VREC-000014,V-000189,BR-12-SD-3077,P-000415,TRUCK,Tata,Truck 3520,2026-01-01,2026-03-24 06:43:25,L-000085,"Warehouse Zone, Thanjavur",MOVED,ACTIVE,
VREC-000015,V-000175,TN-44-HT-2946,P-000955,CAR,Tata,Innova,2026-01-01,2026-02-17 05:47:58,L-000034,"Technology Park, Erode",REGISTERED,ACTIVE,
VREC-000016,V-000605,MH-29-EE-8191,P-000347,BIKE,TVS,Pulsar,2026-01-01,2026-04-20 21:04:18,L-000092,"Old Town, Cuddalore",MOVED,ACTIVE,
VREC-000017,V-000430,KA-54-PK-8754,P-000211,BIKE,TVS,Apache,2026-01-01,2026-03-13 09:34:04,L-000021,"Old Town, Coimbatore",MOVED,ACTIVE,
VREC-000018,V-000083,HR-73-KJ-2329,P-001291,CAR,Toyota,Thar,2026-01-01,2026-01-12 06:07:44,L-000102,"Industrial Estate, Hosur",MOVED,ACTIVE,
VREC-000019,V-000092,AP-25-ZF-7403,P-001211,VAN,Force,Eeco,2026-01-01,2026-04-27 11:00:12,L-000092,"Old Town, Cuddalore",MOVED,INACTIVE,
VREC-000020,V-000476,AP-98-RA-2775,P-001616,BIKE,Yamaha,Shine,2026-01-01,2026-05-16 06:27:03,L-000062,"Port Area, Chennai",REGISTERED,ACTIVE,
VREC-000021,V-000001,RJ-86-GO-9944,P-001155,CAR,Tata,Thar,2026-01-01,2026-01-02 14:18:14,L-000020,"Residential Colony, Karur",REGISTERED,ACTIVE,CR-2026-2006
VREC-000022,V-000065,DL-07-LO-7333,P-001480,VAN,Force,Eeco,2026-01-01,2026-01-22 18:29:58,L-000134,"Technology Park, Salem",REGISTERED,ACTIVE,CR-2026-2011
VREC-000023,V-000617,PB-98-ZI-5923,P-001870,BIKE,Honda,Shine,2026-01-01,2026-03-21 11:08:40,L-000091,"Industrial Estate, Nagapattinam",MOVED,ACTIVE,CR-2026-2013
VREC-000024,V-000454,GJ-53-QD-4710,P-000983,VAN,Tata,Trax,2026-01-01,2026-05-13 20:18:36,L-000098,"Railway Station, Krishnagiri",MOVED,ACTIVE,CR-2026-2015
VREC-000025,V-000691,HR-64-MJ-8337,P-000190,BIKE,Hero,Pulsar,2026-01-01,2026-07-17 01:10:29,L-000200,"Grain Market, Coimbatore",MOVED,INACTIVE,
VREC-000026,V-000437,KL-59-SZ-7523,P-000844,CAR,Honda,Swift,2026-01-01,2026-03-09 02:38:26,L-000079,"Warehouse Zone, Salem",REGISTERED,ACTIVE,CR-2026-2002
VREC-000027,V-000668,DL-84-BM-4968,P-000505,VAN,Force,Winger,2026-01-01,2026-04-16 20:13:52,L-000166,"Old Town, Thoothukudi",REGISTERED,ACTIVE,
VREC-000028,V-000079,TS-03-NP-5459,P-001058,CAR,Toyota,Nexon,2026-01-01,2026-01-09 22:35:50,L-000181,"Highway Junction, Chennai",MOVED,ACTIVE,
VREC-000029,V-000280,RJ-26-LM-2781,P-001571,BIKE,Bajaj,Shine,2026-01-01,2026-01-14 14:11:58,L-000141,"Textile Market, Salem",REGISTERED,ACTIVE,
VREC-000030,V-000241,HR-96-BQ-2572,P-001802,CAR,Hyundai,Thar,2026-01-01,2026-03-31 11:08:26,L-000071,"Port Area, Madurai",REGISTERED,ACTIVE,CR-2026-2002
VREC-000031,V-000107,HR-05-YA-6910,P-001240,VAN,Mahindra,Supro,2026-01-01,2026-06-03 06:31:23,L-000160,"Industrial Estate, Thoothukudi",SEEN,ACTIVE,CR-2026-2015
VREC-000032,V-000031,GJ-71-LH-3485,P-001189,CAR,Toyota,Nexon,2026-01-01,2026-08-02 16:40:20,L-000096,"Warehouse Zone, Tiruchirappalli",SEEN,ACTIVE,
VREC-000033,V-000303,GJ-65-JU-3129,P-001847,CAR,Toyota,Nexon,2026-01-01,2026-01-18 11:50:36,L-000040,"University Road, Tirunelveli",REGISTERED,ACTIVE,CR-2026-2007
VREC-000034,V-000401,RJ-55-QB-9919,P-001328,CAR,Maruti,City,2026-01-01,2026-03-15 02:43:54,L-000181,"Highway Junction, Chennai",MOVED,ACTIVE,CR-2026-2013
VREC-000035,V-000125,GJ-93-AT-2415,P-001179,TRUCK,Tata,LP 1613,2026-01-01,2026-04-28 11:26:07,L-000116,"Highway Junction, Vellore",SEEN,ACTIVE,CR-2026-2019
VREC-000036,V-000557,RJ-27-SF-1159,P-001623,BIKE,Yamaha,Splendor,2026-01-01,2026-05-27 14:00:04,L-000026,"Bypass, Krishnagiri",SEEN,ACTIVE,CR-2026-2015
VREC-000037,V-000160,TN-76-OL-5967,P-001688,BIKE,Honda,Apache,2026-01-01,2026-01-30 11:08:27,L-000020,"Residential Colony, Karur",MOVED,ACTIVE,CR-2026-2005
VREC-000038,V-000443,TS-79-BN-3252,P-000867,TRUCK,Bharat Benz,3223,2026-01-01,2026-03-15 14:09:54,L-000151,"Warehouse Zone, Salem",MOVED,ACTIVE,
VREC-000039,V-000479,GJ-22-UZ-7963,P-001337,CAR,Honda,Swift,2026-01-01,2026-03-22 09:42:49,L-000095,"Port Area, Nagercoil",REGISTERED,ACTIVE,
VREC-000040,V-000519,HR-54-RG-5820,P-000522,BIKE,Honda,FZ,2026-01-01,2026-01-17 21:30:49,L-000161,"University Road, Salem",SEEN,ACTIVE,
VREC-000041,V-000463,WB-63-AB-1405,P-001262,BIKE,Yamaha,Splendor,2026-01-01,2026-06-13 15:13:37,L-000070,"Warehouse Zone, Thanjavur",SEEN,ACTIVE,CR-2026-2001
VREC-000042,V-000401,RJ-55-QB-9919,P-001328,CAR,Maruti,City,2026-01-01,2026-07-24 23:26:44,L-000192,"Bypass, Cuddalore",SEEN,ACTIVE,
VREC-000043,V-000150,AP-15-MS-4132,P-001695,VAN,Tata,Winger,2026-01-01,2026-08-21 12:56:55,L-000114,"Ring Road, Thanjavur",MOVED,ACTIVE,
VREC-000044,V-000122,KL-01-HC-5424,P-000849,TRUCK,Ashok Leyland,3223,2026-01-01,2026-06-11 05:58:40,L-000096,"Warehouse Zone, Tiruchirappalli",SEEN,ACTIVE,
VREC-000045,V-000325,TS-35-ZB-2409,P-000804,VAN,Tata,Trax,2026-01-01,2026-02-17 18:13:35,L-000167,"Old Town, Dindigul",MOVED,ACTIVE,
VREC-000046,V-000362,RJ-58-TS-8189,P-000473,CAR,Toyota,Verna,2026-01-01,2026-08-22 15:51:15,L-000122,"Warehouse Zone, Chennai",REGISTERED,ACTIVE,
VREC-000047,V-000657,RJ-01-JL-8760,P-001883,BIKE,TVS,Splendor,2026-01-01,2026-06-25 17:39:10,L-000022,"IT Park, Madurai",REGISTERED,ACTIVE,
VREC-000048,V-000191,TS-17-HB-9329,P-000776,VAN,Maruti,Winger,2026-01-01,2026-07-17 04:03:48,L-000052,"Bus Stand, Erode",MOVED,ACTIVE,
VREC-000049,V-000662,TS-72-VR-3996,P-000287,VAN,Force,Trax,2026-01-01,2026-08-03 19:50:13,L-000047,"Industrial Estate, Salem",REGISTERED,INACTIVE,
VREC-000050,V-000455,WB-34-RN-9821,P-000448,BIKE,TVS,FZ,2026-01-01,2026-06-15 14:30:38,L-000066,"Grain Market, Nagercoil",MOVED,ACTIVE,
VREC-000051,V-000588,TS-31-NV-3935,P-001178,VAN,Tata,Trax,2026-01-01,2026-02-12 08:17:16,L-000181,"Highway Junction, Chennai",MOVED,ACTIVE,
VREC-000052,V-000280,RJ-26-LM-2781,P-000725,BIKE,Bajaj,Shine,2026-01-01,2026-07-26 08:49:37,L-000100,"Bypass, Cuddalore",MOVED,ACTIVE,
VREC-000053,V-000272,BR-53-YF-9549,P-001072,CAR,Toyota,Thar,2026-01-01,2026-05-15 18:49:08,L-000124,"Technology Park, Nagapattinam",REGISTERED,ACTIVE,
VREC-000054,V-000403,KA-60-CG-9329,P-000101,CAR,Mahindra,Swift,2026-01-01,2026-03-04 20:38:53,L-000131,"Warehouse Zone, Kanniyakumari",REGISTERED,ACTIVE,CR-2026-2014
VREC-000055,V-000677,WB-76-GS-6259,P-001938,BIKE,Honda,Splendor,2026-01-01,2026-02-17 23:38:49,L-000100,"Bypass, Cuddalore",REGISTERED,ACTIVE,
VREC-000056,V-000350,CG-52-QW-2426,P-000350,BIKE,TVS,Apache,2026-01-01,2026-05-24 16:02:24,L-000077,"Textile Market, Coimbatore",MOVED,ACTIVE,
VREC-000057,V-000380,BR-32-GT-4507,P-001930,CAR,Toyota,Verna,2026-01-01,2026-07-18 05:30:43,L-000182,"IT Park, Karur",REGISTERED,ACTIVE,
VREC-000058,V-000018,UP-45-JG-6488,P-000633,BIKE,Honda,Splendor,2026-01-01,2026-05-26 16:17:56,L-000186,"Highway Junction, Nagapattinam",REGISTERED,ACTIVE,
VREC-000059,V-000694,CG-26-BS-7326,P-000093,TRUCK,Bharat Benz,LP 1613,2026-01-01,2026-07-21 13:54:29,L-000072,"Warehouse Zone, Erode",MOVED,ACTIVE,
VREC-000060,V-000044,TN-56-IL-4744,P-000812,CAR,Tata,Thar,2026-01-01,2026-04-02 23:26:15,L-000033,"Old Town, Erode",REGISTERED,ACTIVE,CR-2026-2012
VREC-000061,V-000486,MH-25-EW-8331,P-001248,CAR,Toyota,Innova,2026-01-01,2026-02-26 16:45:54,L-000009,"Highway Junction, Krishnagiri",MOVED,ACTIVE,CR-2026-2019
VREC-000062,V-000490,KA-09-TZ-7341,P-001543,TRUCK,Ashok Leyland,Pro 3015,2026-01-01,2026-03-22 04:24:39,L-000181,"Highway Junction, Chennai",MOVED,ACTIVE,CR-2026-2019
VREC-000063,V-000535,MP-53-IB-8526,P-000236,CAR,Hyundai,Nexon,2026-01-01,2026-04-10 14:53:16,L-000133,"Old Town, Kanniyakumari",REGISTERED,ACTIVE,CR-2026-2009
VREC-000064,V-000504,MH-15-UV-9191,P-001284,CAR,Hyundai,Innova,2026-01-01,2026-07-13 09:07:49,L-000187,"Highway Junction, Thoothukudi",REGISTERED,ACTIVE,
VREC-000065,V-000625,GJ-29-GR-6551,P-000428,VAN,Tata,Supro,2026-01-01,2026-07-18 08:03:46,L-000091,"Industrial Estate, Nagapattinam",SEEN,ACTIVE,CR-2026-2012
VREC-000066,V-000001,RJ-86-GO-9944,P-001320,CAR,Tata,Thar,2026-01-01,2026-07-28 15:22:16,L-000146,"Ring Road, Tiruchirappalli",REGISTERED,ACTIVE,
VREC-000067,V-000138,KL-13-IY-6468,P-000244,CAR,Maruti,Verna,2026-01-01,2026-01-13 09:52:18,L-000124,"Technology Park, Nagapattinam",REGISTERED,ACTIVE,
VREC-000068,V-000524,HR-90-YL-8447,P-001643,VAN,Tata,Trax,2026-01-01,2026-08-28 01:01:10,L-000023,"Bus Stand, Kanniyakumari",MOVED,ACTIVE,
VREC-000069,V-000695,BR-57-CD-6867,P-000054,CAR,Honda,Thar,2026-01-01,2026-07-28 22:14:39,L-000040,"University Road, Tirunelveli",MOVED,ACTIVE,
VREC-000070,V-000250,KA-14-VL-8397,P-000854,BIKE,Bajaj,FZ,2026-01-01,2026-02-17 14:21:49,L-000029,"Grain Market, Coimbatore",REGISTERED,ACTIVE,
VREC-000071,V-000164,PB-96-MA-2031,P-001464,BIKE,Bajaj,Apache,2026-01-01,2026-07-04 02:59:08,L-000172,"Warehouse Zone, Chennai",MOVED,ACTIVE,
VREC-000072,V-000449,PB-64-EI-3040,P-000885,BIKE,Honda,Splendor,2026-01-01,2026-02-10 06:54:57,L-000036,"Port Area, Dindigul",REGISTERED,ACTIVE,
VREC-000073,V-000439,GJ-79-NA-5352,P-001177,BIKE,Hero,Apache,2026-01-01,2026-06-19 16:55:22,L-000059,"IT Park, Chennai",SEEN,INACTIVE,
VREC-000074,V-000667,DL-52-BM-3998,P-000786,VAN,Mahindra,Winger,2026-01-01,2026-03-25 13:08:11,L-000091,"Industrial Estate, Nagapattinam",SEEN,ACTIVE,
VREC-000075,V-000492,MH-35-TH-6423,P-001759,VAN,Mahindra,Eeco,2026-01-01,2026-01-24 19:51:23,L-000048,"Auto Nagar, Nagercoil",REGISTERED,ACTIVE,CR-2026-2011
VREC-000076,V-000433,BR-93-YM-8817,P-000874,BIKE,Bajaj,Splendor,2026-01-01,2026-01-25 12:05:15,L-000091,"Industrial Estate, Nagapattinam",MOVED,ACTIVE,CR-2026-2006
VREC-000077,V-000274,AP-64-OO-5612,P-001147,CAR,Maruti,City,2026-01-01,2026-05-13 03:11:35,L-000012,"Bus Stand, Madurai",MOVED,ACTIVE,
VREC-000078,V-000556,WB-47-OT-6497,P-001557,CAR,Tata,Thar,2026-01-01,2026-02-15 14:03:18,L-000090,"Warehouse Zone, Salem",MOVED,ACTIVE,CR-2026-2016
VREC-000079,V-000421,RJ-27-XW-9444,P-001381,BIKE,Yamaha,Splendor,2026-01-01,2026-04-11 17:43:57,L-000096,"Warehouse Zone, Tiruchirappalli",SEEN,ACTIVE,
VREC-000080,V-000502,WB-91-IF-5387,P-001773,CAR,Hyundai,Innova,2026-01-01,2026-06-10 23:17:09,L-000032,"Residential Colony, Nagapattinam",MOVED,ACTIVE,
VREC-000081,V-000216,HR-28-DJ-5126,P-001824,CAR,Maruti,Thar,2026-01-01,2026-01-23 00:16:09,L-000102,"Industrial Estate, Hosur",SEEN,ACTIVE,
VREC-000082,V-000331,KL-90-SQ-8747,P-001258,BIKE,Yamaha,Apache,2026-01-01,2026-02-09 21:07:10,L-000173,"Technology Park, Madurai",REGISTERED,ACTIVE,
VREC-000083,V-000334,KA-42-YS-9297,P-001604,CAR,Mahindra,Innova,2026-01-01,2026-05-18 06:52:08,L-000051,"Port Area, Nagapattinam",MOVED,ACTIVE,
VREC-000084,V-000262,HR-44-AR-3412,P-001167,CAR,Tata,Innova,2026-01-01,2026-08-06 01:05:10,L-000002,"Residential Colony, Thanjavur",MOVED,ACTIVE,
VREC-000085,V-000070,DL-07-ZQ-3020,P-000984,VAN,Force,Trax,2026-01-01,2026-01-02 14:49:41,L-000169,"University Road, Tirunelveli",SEEN,ACTIVE,
VREC-000086,V-000320,DL-14-HQ-2740,P-000842,BIKE,Honda,Splendor,2026-01-01,2026-08-20 14:01:49,L-000012,"Bus Stand, Madurai",MOVED,ACTIVE,
VREC-000087,V-000195,HR-93-UR-2313,P-001772,VAN,Mahindra,Trax,2026-01-01,2026-07-09 04:54:26,L-000160,"Industrial Estate, Thoothukudi",MOVED,ACTIVE,CR-2026-2017
VREC-000088,V-000251,KA-65-LS-2062,P-000853,VAN,Mahindra,Winger,2026-01-01,2026-05-03 12:12:18,L-000016,"University Road, Karur",SEEN,ACTIVE,
VREC-000089,V-000592,RJ-09-LQ-3039,P-000384,BIKE,Honda,Pulsar,2026-01-01,2026-04-20 13:34:47,L-000105,"Bypass, Tirunelveli",SEEN,ACTIVE,CR-2026-2020
VREC-000090,V-000568,TS-86-YC-1788,P-001469,CAR,Mahindra,Nexon,2026-01-01,2026-04-29 04:22:35,L-000181,"Highway Junction, Chennai",SEEN,INACTIVE,
VREC-000091,V-000047,KA-33-CQ-5180,P-001651,BIKE,Hero,Apache,2026-01-01,2026-07-21 23:10:46,L-000198,"Port Area, Krishnagiri",SEEN,ACTIVE,
VREC-000092,V-000589,DL-46-QF-2273,P-001449,CAR,Mahindra,Swift,2026-01-01,2026-08-21 01:11:06,L-000020,"Residential Colony, Karur",MOVED,ACTIVE,
VREC-000093,V-000611,TN-61-JM-1669,P-000493,VAN,Tata,Winger,2026-01-01,2026-02-09 09:33:01,L-000165,"Ring Road, Krishnagiri",MOVED,ACTIVE,
VREC-000094,V-000408,UP-16-RA-6468,P-000234,CAR,Honda,Verna,2026-01-01,2026-04-14 08:25:59,L-000092,"Old Town, Cuddalore",MOVED,ACTIVE,
